State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Madras,4,1967,2,96,TALAVASAL,67.47,55.39,SC,89072,5,1,Male,DMK,33289,M. MARIMUTHU,14.71,A. DORAISAMY,INC,M,nan,INC,R. RAJAGOPALASAMI NAICKER,13.67,-6.9,9.04,DMK
Madras,4,1967,2,97,GUDALUR,60.47,49.24,SC,69434,3,1,Male,INC,20675,C. NANJAM,1.5,BOMMAN,SWA,M,nan,INC,K. PONNIAH,6.94,-3.34,-11.12,
Madras,4,1967,2,98,OOTACAMUND,73.7,68.03,General,74843,2,1,Male,SWA,37525,K. BOJAN,36.06,T. K. GOWDER,INC,M,nan,INC,N. MAHALINGAM,11.85,-4.13,21.41,SWA
Madras,4,1967,2,99,COONOOR,71.63,58.74,General,75716,2,1,Male,DMK,31855,B. GOWDER,17.47,M.K.N. GOWDER,INC,M,nan,INC,M. P. MUTHUKARRUPPANASAMI GOUNDER,7.52,5.13,-8.32,DMK
Madras,4,1967,2,100,METTUPALAYAM,69.9,45.42,General,93585,3,1,Male,INC,29709,T.T.S. THIPPIAH,4.55,THOOYAMANI,DMK,M,nan,INC,SENGALIAPPAN,-6.24,-0.1,-24.34,
Madras,4,1967,2,101,AVANASHI,67.3,54.36,General,87279,2,1,Male,SWA,31927,R. K. GOUNDER,8.72,K. M. GOUNDER,INC,M,nan,INC,K. N. PALAMISAMY GOUNDER,2.47,-8.25,-10.64,SWA
Madras,4,1967,2,102,THONDAMUTHUR,70.59,59.14,General,101232,3,1,Male,DMK,42261,R. MANICKAVACHAKAM,21.58,V. E. NAIDU,INC,M,nan,INC,MARAPPA GOUNDER,6.12,7.58,-7.5,DMK
Madras,4,1967,2,103,SINGANALLUR,73.69,54.93,General,94798,4,1,Male,PSP,38378,P. VELUSAMY,18.98,V.K.L. GOUNDER,INC,M,nan,INC,KOLANTAIAMMAL C.,16.17,-0.29,12.42,PSP
Madras,4,1967,2,104,PERUR,72.73,61.49,SC,97801,3,1,Male,CPM,43740,N. MARUDACHALAM,24.17,R. RAYAPPAN,INC,M,nan,INC,V. ELLAMA NAIDU,8.82,-3.31,-7.87,CPM
Madras,4,1967,2,105,COIMBATORE WEST,76.41,63.85,General,84159,2,1,Male,DMK,41059,"J, GOVINDARAJULU",27.69,S.R.P.P. CHETTIAR,INC,M,nan,INC,G. E. CHINNADURAI,21.75,-0.11,8.49,DMK
Madras,4,1967,2,106,COIMBATORE EAST,70.71,50.81,General,92200,3,1,Male,CPM,33122,M. BHUPATHY,8.66,G.R. DAMODARAN,INC,M,nan,INC,PALANISAMY K. P.,13.43,-23.62,-1.02,CPM
Madras,4,1967,2,107,KINATHUKADAVU,73.65,64.63,General,85384,4,1,Male,DMK,40645,KANNAPPAN,31.73,S. GOUNDER,INC,M,nan,INC,N. SHANMUGASUNDARAM,17.73,3.02,20.18,DMK
Madras,4,1967,2,108,POLLACHI,74.62,58.65,General,85643,3,1,Male,DMK,37480,A.P.S. GOUNDER,18.45,E. GOUNDER,INC,M,nan,INC,J. MATHA GOWDER,7,5.23,-11.92,DMK
